product_model,product_name,product_price
i-coroziune,Spuma activa auto concentrata LIGHT Grass 5Kg,"52,00 lei"
 6.295-849.,"Detergent pentru curatarea covoarelor, pudra, RM 760, 0.8 kg","80,00 lei"
 6.295-490.,Solutie  pentru indepartarea petelor RM769,"81,16 lei"
 6.394-409.,Recipient pulverizare pompa 1 l,"160,00 lei"
 6.295-854.,Detergent pentru curatarea materialelor textile RM 764 10L,"390,00 lei"
 6.294-844.,"Detergent pentru curatarea covoarelor, pudra, RM 760, 10  kg","550,00 lei"
 1.527-181.,Aspirator uscat T 7/1 Classic,"650,00 lei"
 1.633-550.,Aspirator pentru geamuri profesional WV 10,"699,00 lei"
 1.527-145.,Aspirator uscat T 7/1 eco!efficiency,"780,00 lei"
 1.527-199.,Aspirator uscat T 11/1 Classic HEPA,"820,00 lei"
 1.527-150.,Aspirator uscat T10/1,"840,00 lei"
 1.378-600.,ASPIRATOR USCAT - UMED NT 22/1 Ap L *EU,"925,00 lei"
 1.378-610.,ASPIRATOR UMED-USCAT NT 22/1 Ap Te *EU,"965,00 lei"
 1.428-500.,Aspirator uscat - umed NT 27/1,"970,00 lei"
 1.633-560.,Aspirator pentru geamuri profesional WV 10 Advanced,"980,00 lei"
 1.428-522.,Aspirator uscat - umed NT 27/1 Te,"980,00 lei"
. Permite..,Matura cu acumulator  EB 30/1 Li-Ion,"1 032,00 lei"
 1.428-100.,Aspirator uscat - umed NT 27/1 Me,"1 115,00 lei"
 1.527-413.,Aspirator uscat T 10/1 eco!efficiency,"1 130,00 lei"
 1.378-500.,ASPIRATOR USCAT - UMED NT 20/1 Ap*EU,"1 143,00 lei"
 1.394-223.,Aspirator HV 1/1 Bp As,"1 200,00 lei"
 1.394-222.,Aspirator HV 1/1 Bp Cs *EU,"1 214,00 lei"
 1.394-221.,Aspirator HV 1/1 Bp Fs,"1 227,00 lei"
 1.394-260.,ASPIRATOR HV 1/1 Bp Cs,"1 230,00 lei"
 1.378-510.,ASPIRATOR USCAT - UMED NT 20/1 Ap Te *EU,"1 268,00 lei"
"total, un..",Aspirator uscat T 12/1,"1 320,00 lei"
sa in pache,Drujba electrica MT HT 550/36,"1 320,00 lei"
 disponibil,Aspirator umed uscat NT 50/1 Me Classic,"1 350,00 lei"
 1.428-620.,ASPIRATOR UMED-USCAT NT 48/1,"1 435,00 lei"
ta pentru..,Aspirator uscat T 12/1 eco!efficiency,"1 510,00 lei"
fara bateri,Suflanta LB 960/36 Bp,"1 600,00 lei"
est model..,Matura electrica EB 30/1 Adv Li-Ion,"1 655,00 lei"
e NT 14/1..,Aspirator uscat - umed NT 14/1 Ap Te Adv,"1 743,49 lei"
 1.148-221.,Aspirator umed uscat NT30/1 Ap L *EU,"1 790,00 lei"
 1.042-210.,Motopompa de apă semimurdară WWP 45,"1 856,00 lei"
 1.148-321.,Aspirator umed -uscat  NT 40/1 Ap L,"1 905,00 lei"
 1.355-235.,Aspirator uscat T 15/1 HEPA,"1 912,00 lei"
 1.355-246.,Aspirator uscat T 15/1 eco!efficiency,"1 942,00 lei"
i incarcato,Masina de tuns iarba LT 380/36 Bp,"1 985,00 lei"
 1.042-506.,Aparat de tuns gard viu HT 650/36 Bp,"2 068,00 lei"
i incarcato,Aparat de tuns iarba BCU 260/36 Bp,"2 076,00 lei"
 măturare..,MASINA DE MATURAT KM 70/15 C,"2 150,00 lei"
 1.023-121.,Aspirator cu perii pentru covor CV 30/1,"2 160,00 lei"
de lucru...,Suflanta AB 20/1 Ec,"2 250,00 lei"
"lui
cod:..",Aspirator umed- uscat NT30/1 Ap Te L *EU,"2 250,00 lei"
sorii.Cod..,Aspirator uscat - umed NT 45/1 Tact,"2 398,82 lei"
 1.148-201.,ASPIRATOR USCAT - UMED NT 30/1 Tact L,"2 425,00 lei"
osite din..,Aspirator cu spalare Puzzi 8/1 C,"2 429,00 lei"
zonele cu..,Aspirator uscat BV 5/1,"2 540,00 lei"
 1.042-508.,Suflanta LB 930/36 Bp pack,"2 586,00 lei"
mandat de..,Aspirator uscat - umed NT 45/1 Tact Te,"2 624,39 lei"
 1.057-328.,ASPIRATOR CU PERI PENTRU COVOR CV 48/2,"2 650,00 lei"
fara bateri,Suflanta BLB 1060/36 Bp,"2 715,00 lei"
:1.517-106.,Masina de maturat KM 70/20 C,"2 722,00 lei"
 1.148-281.,ASPIRATOR UMED-USCAT NT 30/1 Tact Te Adv L,"2 800,00 lei"
are umeda..,ASPIRATOR USCAT - UMED NT 30/1 Tact Te L,"2 820,00 lei"
 1.033-336.,ASPIRATOR CU PERI PENTRU COVOR CV 38/2 Adv *EU,"2 862,00 lei"
epozitate..,Aspirator uscat - umed NT 55/1 Tact,"2 903,46 lei"
 1.042-207.,Generator PGG 3/1 pe benzina,"2 950,00 lei"
 1.520-900.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/12 C,"2 984,00 lei"
 1.148-311.,ASPIRATOR USCAT - UMED NT 40/1 Tact Te L,"2 992,00 lei"
masini de..,Masina de frecat aspirat B 60/10 C HYGIENE *KNA,"3 000,00 lei"
 1.057-329.,ASPIRATOR CU PERI PENTRU COVOR CV 48/2 Adv,"3 000,00 lei"
 1.520-960.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/11 C,"3 028,00 lei"
e rotunda..,Masina de maturat KM 70/20 C 2SB,"3 049,00 lei"
 1.148-340.,Aspirator special Nt 40/1 Tact Bs,"3 135,00 lei"
 1.520-901.,CURATITOR CU APA SUB PRESIUNE HD 5/12 C Plus,"3 230,00 lei"
 1.667-269.,Aspirator uscat - umed NT 70/2,"3 250,00 lei"
 1.520-930.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/15 C,"3 300,00 lei"
 1.148-411.,ASPIRATOR USCAT - UMED NT 50/1 Tact Te L,"3 300,00 lei"
 1.520-931.,Curatitor cu apa sub presiune HD 5/15 C Plus,"3 340,00 lei"
:1.520-000.,Curatitor cu apa sub presiune HD 5/17 C Plus,"3 395,00 lei"
 1.150-950.,Aparat de curatat cu inalta presiune HD 6/15 P Modul,"3 426,00 lei"
 1.520-950.,APARAT DE CURATAT CU INALTA PRESIUNE HD 6/13 C,"3 450,00 lei"
 1.100-130.,Aspirator cu spalare PUZZI 10/1,"3 499,00 lei"
 1.667-275.,Aspirator uscat - umed NT 70/2 Me,"3 530,00 lei"
2 Tc vine..,Aspirator uscat - umed NT 70/2 Tc,"3 548,00 lei"
 1.024-810.,Purificator de aer AF 100,"3 584,00 lei"
 1.667-278.,Aspirator uscat - umed NT 70/2 Adv,"3 653,00 lei"
 1.520-951.,Aparat de curatat cu inalta presiune HD 6/13 C Plus,"3 730,00 lei"
 1.913-102.,Perie supliementara PW 30/1 pentru puzzi 10/2,"3 750,00 lei"
 1.520-902.,CURATITOR CU APA SUB PRESIUNE HD 5/12 CX Plus,"3 760,00 lei"
 1.520-941.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/17 C Plus,"3 762,00 lei"
 1.520-933.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/15 C Plus + FR...,"3 832,00 lei"
 1.667-270.,Aspirator uscat - umed NT 70/3,"3 850,00 lei"
 1.042-505.,Drujba electrica CS 400/36 Bp pack,"3 925,00 lei"
artea de jo,Masina de frecat aspirat BDS 43/180 C Adv,"3 999,00 lei"
 1.150-930.,APARAT DE CURATAT CU INALTA PRESIUNE HD 6/15 M,"4 147,00 lei"
 1.520-940.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/17 C,"4 177,00 lei"
 1.667-291.,Aspirator uscat - umed NT 65/2 Ap,"4 200,00 lei"
 1.520-952.,Aparat de curatat cu inalta presiune HD 6/13 CX Plus *EU,"4 238,00 lei"
 1.528-121.,Aspirator pe acumulator T 9/1 Bp,"4 247,00 lei"
si rapida..,CURATITOR CU APA SUB PRESIUNE HD 5/15 CX Plus,"4 250,00 lei"
 1.667-299.,ASPIRATOR UMED-USCAT NT 65/2 Ap Me,"4 276,00 lei"
 1.520-942.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/17 CX Plus,"4 295,00 lei"
artea de jo,Masina de frecat aspirat BDS 33/180 C Adv,"4 360,00 lei"
 1.042-510.,Suflanta BLB 1060/36 Bp Pack,"4 363,00 lei"
".
Cod de..",Aspirator pe acumulator  BV 5/1 Bp,"4 365,00 lei"
 1.150-970.,APARAT DE CURATAT CU INALTA PRESIUNE HD 6/15 Cage-Mobil,"4 370,00 lei"
 alimentare,HD 7/20 G CLASSIC Curatitor cu apa sub presiune,"4 380,00 lei"
 1.151-950.,Aparat de curatat cu inalta presiune HD 7/17 P Modul,"4 400,00 lei"
 1.291-243.,MASINA DE FRECAT ASPIRAT BDS 43/150 C Classic,"4 500,00 lei"
 1.524-942.,Aparat de curatat cu inalta presiune HD 7/14-4 M Cage *EU,"4 570,00 lei"
 1.024-404.,Dozator de apa WPD 50,"4 631,00 lei"
 1.667-274.,Aspirator uscat - umed NT 70/3 Me Tc,"4 700,00 lei"
 1.151-930.,APARAT DE CURATAT CU INALTA PRESIUNE HD 7/17 M,"4 700,00 lei"
 1.520-953.,APARAT DE CURATAT CU INALTA PRESIUNE HD 6/13 C Plus + FR...,"4 750,00 lei"
 1.042-208.,Generator PGG 6/1 pe benzina,"4 790,00 lei"
rafete Fr..,CURATITOR CU APA SUB PRESIUNE HD 5/15 CX Plus + Fr Classic,"4 800,00 lei"
 190 de bar,Curatitor cu apa sub presiune HD 9/19 M,"4 800,00 lei"
:1.151-500.,Curatitor cu apa sub presiune HD 715,"4 803,08 lei"
 1.150-932.,APARAT DE CURATAT CU INALTA PRESIUNE HD 6/15 M Plus,"4 820,00 lei"
 1.042-500.,Masina de tuns iarba LM 460 /36Bp,"4 854,00 lei"
re/oprire..,ASPIRATOR DE SIGURANTA NT 50/1 Tact Te M,"4 873,40 lei"
9 având o..,Curatitor cu abur SG 4/4,"4 990,00 lei"
 1.151-932.,CURATITOR CU APA SUB PRESIUNE HD 7/17 M Plus*EU,"5 000,00 lei"
 1.737-105.,Masina pentru curatat trepte BD 17/5 C,"5 055,00 lei"
 1.148-437.,ASPIRATOR DE SIGURANTA NT 50/1 Tact Te H,"5 104,00 lei"
 1.151-931.,CURATITOR CU APA SUB PRESIUNE HD 7/17 MX *EU,"5 236,00 lei"
a PW 30/1..,Aspirator cu spalare Puzzi 10/2 Adv,"5 300,00 lei"
e : 200 bar,APARAT DE CURATAT CU INALTA PRESIUNE HD 9/20-4 Classic,"5 490,00 lei"
dariei si..,Aspirator uscat - umed NT 65/2 Tact² Tc,"5 522,00 lei"
 1.524-930.,APARAT DE CURATAT CU INALTA PRESIUNE HD 7/14-4 M,"5 568,00 lei"
artea de jo,Masina de frecat aspirat BDS 51/180 C Adv,"5 597,00 lei"
"fin.
cod..",Aspirator uscat - umed NT 65/2 Tact²,"5 650,00 lei"
elului de..,Aspirator uscat - umed NT 75/2 Ap Me Tc,"5 700,00 lei"
 de lucru..,Curatitor cu apa sub presiune HD 7/10 CXF,"5 746,71 lei"
 1.524-932.,Aparat de curatat cu inalta presiune HD 7/14 -4M Plus *EU,"5 775,00 lei"
 1.151-960.,Aparat de curatat cu inalta presiune HD 7/17 M Cage *EU-I,"5 800,00 lei"
inelor și..,MASINA DE FRECAT ASPIRAT BR 30/4 C,"5 800,00 lei"
 0.300-174.,Dozator de apa WPD 100,"5 825,00 lei"
 1.524-957.,Aparat de curatat cu inalta presiune HD 7/16-4M Plus,"5 845,00 lei"
 1.042-209.,Generator PGG 8/3 pe benzina,"5 850,00 lei"
inelor și..,MASINA DE FRECAT ASPIRAT BR 30/4,"5 890,00 lei"
 1.524-970.,APARAT DE CURATAT CU INALTA PRESIUNE HD 8/18-4 M,"5 940,00 lei"
 1.524-980.,Aparat de curatat cu inalta presiune HD 8/18-4 P Modul *EU,"5 982,00 lei"
 1.524-934.,APARAT DE CURATAT CU INALTA PRESIUNE HD 6/16-4 MX Plus,"6 000,00 lei"
 1.367-315.,APARAT DE CURATAT CU INALTA PRESIUNE HD 9/18-4 Cage Classic,"6 038,00 lei"
 1.524-972.,Aparat de curatat cu inalta presiune HD 8/18-4M Plus,"6 060,00 lei"
"fin.
cod..",Aspirator uscat - umed NT 75/2 Tact² Me,"6 098,00 lei"
 1.524-933.,Aparat de curatat cu inalta presiune HD 6/16-4 M Plus,"6 100,00 lei"
 1.524-931.,Aparat de curatat cu inalta presiune HD 7/14 -4MX,"6 204,00 lei"
 1.024-801.,Purificator de aer AFG 100 antracit,"6 250,00 lei"
 1.151-906.,Aparat de curatat cu inalta presiune HD 7/10 CXF,"6 300,00 lei"
 1.042-501.,Masina de tuns iarba LM 530/36 Bp Pack,"6 462,00 lei"
 1.524-956.,Aparat de curatat cu inalta presiune HD 7/16-4MX Plus,"6 505,00 lei"
 1.024-800.,Purificator de aer AFG 100 alb,"6 520,00 lei"
 1.524-971.,Aparat de curatat cu inalta presiune HD 8/18-4MX *EU,"6 535,00 lei"
1.524-940.0,Aparat de curatat cu inalta presiune HD 6/16 - 4 Cage Mobil,"6 570,00 lei"
 1.524-924.,APARAT DE CURATAT CU INALTA PRESIUNE HD 9/20-4 M,"6 650,00 lei"
dariei si..,Aspirator uscat - umed NT 75/2 Tact² Me Tc,"6 676,00 lei"
 1.291-223.,Masina de frecat aspirat BDS 43/Duo C Adv,"6 733,00 lei"
e rotunda..,MASINA DE MATURAT KM 70/30 C Bp Pack,"6 854,00 lei"
:1.783-330.,Masina de frecat BRS 40/1000 C,"6 856,00 lei"
 1.524-926.,Aparat de curatat cu inalta presiune HD 9/20-4 M Plus,"6 922,00 lei"
5000 ore...,Aspirator uscat - umed NT 45/1 Tact Te Ec,"6 994,00 lei"
 1.524-981.,Aparat de curatat cu inalta presiune HD 8/18-4 M Cage *EU-I,"7 033,00 lei"
 0.300-184.,Dozator de apa WPD 100 Basic aparat de podea,"7 199,00 lei"
"igienice,..",Masina de frecat aspirat BR 30/4 C Adv,"7 200,00 lei"
 1.517-213.,Masina de maturat KM 70/30 C Bp Pack Adv,"7 469,00 lei"
 1.064-900.,CURATITOR CU APA SUB PRESIUNE HDS 5/11 U,"7 500,00 lei"
ntegrata...,Aspirator special NT 611 ECO K,"7 644,00 lei"
 1.187-908.,Aparat de curatat cu inalta presiune HD 728 B Cage,"7 684,00 lei"
 1.524-927.,Aparat de curatat cu inalta presiune HD 9/20-4 MX Plus,"7 690,00 lei"
 1.291-252.,Masina de frecat BDS 43/ Orbital C,"7 900,00 lei"
 1.667-294.,ASPIRATOR DE SIGURANTA NT 75/1 Tact Me Te H,"8 026,00 lei"
 1.667-316.,ASPIRATOR UMED-USCAT NT 75/2 Tact² Me Tc Adv,"8 170,00 lei"
 1.783-225.,MASINA DE FRECAT ASPIRAT BR 30/4 C Bp Pack,"8 194,00 lei"
 1.187-903.,Aparat de curatat cu inalta presiune HD 7/15 G,"8 550,00 lei"
 1.064-908.,CURATITOR CU APA SUB PRESIUNE HDS 5/13 U,"8 650,00 lei"
 1.064-901.,CURATITOR CU APA SUB PRESIUNE HDS 5/11 UX,"8 851,00 lei"
 1.667-237.,Aspirator uscat - umed NT 55/2 Tact² Me I,"8 920,00 lei"
 1.064-909.,CURATITOR CU APA SUB PRESIUNE HDS 5/13 UX,"9 560,00 lei"
 1.783-230.,MASINA DE FRECAT ASPIRAT BD 30/4 C Bp Pack,"9 600,00 lei"
